LC_Class_I blue_0 blue_1 blue_2 blue_3 blue_4 blue_5 red_0 red_1 red_2 red_3 red_4 red_5 red_edge_2_0 red_edge_2_1 red_edge_2_2 red_edge_2_3 red_edge_2_4 red_edge_2_5 nir_1_0 nir_1_1 nir_1_2 nir_1_3 nir_1_4 nir_1_5 swir_1_0 swir_1_1 swir_1_2 swir_1_3 swir_1_4 swir_1_5 swir_2_0 swir_2_1 swir_2_2 swir_2_3 swir_2_4 swir_2_5 NDVI_0 NDVI_1 NDVI_2 NDVI_3 NDVI_4 NDVI_5
4.0 169.19142150878906 80.7964859008789 204.4527587890625 223.7135009765625 232.83306884765625 198.16299438476562 201.4034881591797 138.944091796875 271.9324035644531 348.76922607421875 238.77297973632812 220.49905395507812 2231.823486328125 1827.231201171875 1145.9222412109375 478.7940673828125 2384.72265625 2337.272216796875 2598.357666015625 2270.50390625 1464.1990966796875 583.4417724609375 2858.073974609375 2862.0302734375 1599.248046875 1414.6466064453125 1342.6082763671875 1182.3045654296875 1708.969482421875 1701.5023193359375 801.5326538085938 702.7310180664062 868.73193359375 1072.9798583984375 966.3958129882812 934.9641723632812 0.8596118688583374 0.8882045149803162 0.6757792830467224 0.2590281665325165 0.833930492401123 0.8690440058708191
4.0 248.06130981445312 120.67388916015625 215.03147888183594 356.4842834472656 214.4547576904297 143.68338012695312 250.5792999267578 219.5446319580078 477.81988525390625 657.10400390625 274.2342224121094 202.52957153320312 2282.41455078125 2054.597412109375 1800.5782470703125 1515.3642578125 2460.69921875 2159.58740234375 2893.1826171875 2777.7109375 2422.826171875 1950.8997802734375 3244.209716796875 2849.73486328125 1361.5185546875 1286.12548828125 1650.8284912109375 1705.79150390625 1480.015625 1504.957275390625 625.6895141601562 618.7437133789062 905.4937133789062 1115.38330078125 750.7822265625 775.802978515625 0.8408371806144714 0.8536476492881775 0.6747754812240601 0.497289776802063 0.845486044883728 0.8685749173164368
6.0 117.02554321289062 52.577720642089844 229.06100463867188 298.79736328125 273.9001770019531 189.43582153320312 116.8271255493164 105.21810150146484 325.1502380371094 400.5378723144531 309.376708984375 214.91090393066406 159.193603515625 29.325532913208008 141.92713928222656 142.51986694335938 133.3937530517578 101.46450805664062 103.50343322753906 24.1810302734375 115.1712646484375 133.2499237060547 111.86907958984375 100.28777313232422 135.4553985595703 118.3434829711914 206.2462158203125 237.1810760498047 242.1195526123047 255.17120361328125 107.43949890136719 92.63469696044922 163.3262481689453 203.03309631347656 217.54539489746094 223.06504821777344 -0.08141647279262543 -0.7086143493652344 -0.49563688039779663 -0.5338217616081238 -0.4854084551334381 -0.4902534782886505
4.0 217.1805877685547 87.10107421875 119.68535614013672 259.9657897949219 428.85430908203125 214.77256774902344 264.8554382324219 160.38311767578125 234.42575073242188 556.0983276367188 636.4277954101562 268.13818359375 2332.518798828125 1973.828857421875 1191.1541748046875 826.8238525390625 1403.3619384765625 1855.0906982421875 3615.5380859375 3036.58447265625 1534.787109375 1140.080078125 1748.681396484375 2282.62890625 1496.2283935546875 1325.4503173828125 1205.0142822265625 1383.6424560546875 1607.57568359375 1439.3974609375 731.5712280273438 636.2219848632812 657.7379760742188 908.4600830078125 1057.49072265625 800.8497314453125 0.864200234413147 0.9042761325836182 0.7188745737075806 0.346964031457901 0.4637465476989746 0.7895706295967102
4.0 182.5489501953125 114.62559509277344 158.2266387939453 364.45989990234375 246.63442993164062 152.04603576660156 189.2001190185547 183.3918914794922 389.4473571777344 706.1011962890625 298.6002197265625 155.01522827148438 2225.164306640625 2174.406005859375 1873.998046875 1185.9263916015625 2421.235107421875 2416.7978515625 2955.45751953125 2972.356689453125 2504.69580078125 1491.1485595703125 3195.55810546875 3246.658447265625 1398.50830078125 1446.3056640625 1727.3695068359375 1827.5693359375 1583.5592041015625 1576.6297607421875 656.3761596679688 697.2933959960938 961.2814331054688 1381.730712890625 858.0596313476562 770.3219604492188 0.8811597228050232 0.884320855140686 0.7346460223197937 0.35915014147758484 0.8376216888427734 0.9139944911003113
4.0 129.4925079345703 57.36549377441406 40.29781723022461 220.6166229248047 230.94903564453125 107.87036895751953 115.94296264648438 86.74079132080078 174.5623779296875 443.7476501464844 265.5536193847656 109.35689544677734 1744.49462890625 1459.4239501953125 918.9810180664062 748.4921875 1850.615966796875 2074.76025390625 2287.8876953125 2001.289306640625 1301.8089599609375 993.5840454101562 2414.736083984375 2778.2119140625 1104.24755859375 994.5736694335938 1024.998779296875 1384.575927734375 1315.6258544921875 1383.67919921875 484.76458740234375 434.7428283691406 515.7705078125 980.3564453125 704.5398559570312 653.8944091796875 0.9070626497268677 0.9173915386199951 0.7628780007362366 0.38320034742355347 0.8054187297821045 0.9273443222045898
4.0 307.6878967285156 26.790557861328125 67.1303482055664 96.48619842529297 186.15353393554688 210.42044067382812 394.64154052734375 104.73465728759766 159.0129852294922 197.89234924316406 341.85101318359375 356.19903564453125 1655.8956298828125 1248.1080322265625 1197.14501953125 1208.2320556640625 1394.247314453125 1649.93896484375 1846.8399658203125 1596.460693359375 1542.8565673828125 1621.7496337890625 1724.352294921875 2039.991943359375 1385.12890625 989.0321655273438 803.3486938476562 864.4146118164062 1270.315185546875 1534.555908203125 806.0475463867188 544.2132568359375 446.5907287597656 484.5246276855469 779.8448486328125 947.5614013671875 0.6601088047027588 0.8811800479888916 0.8216253519058228 0.7856928110122681 0.6763725876808167 0.7085665464401245
4.0 718.8163452148438 67.40068054199219 97.08040618896484 82.94489288330078 190.20895385742188 129.09739685058594 771.9276123046875 197.40895080566406 204.125732421875 217.58935546875 311.2420654296875 284.9128723144531 1682.223388671875 1158.65380859375 1158.323486328125 1160.9974365234375 1201.701416015625 1314.748291015625 1863.4708251953125 1423.233642578125 1518.5489501953125 1483.1864013671875 1487.3685302734375 1569.9661865234375 1571.6505126953125 1102.2303466796875 1003.6331787109375 1016.5333251953125 1299.7359619140625 1478.2828369140625 1033.6368408203125 639.1044921875 563.4161376953125 604.6068115234375 806.4356079101562 921.4135131835938 0.4499371647834778 0.7631310224533081 0.7636513113975525 0.7457458972930908 0.6554474234580994 0.6936330795288086
4.0 241.46905517578125 150.12759399414062 249.53443908691406 336.8726501464844 236.5029754638672 236.57752990722656 271.905517578125 235.73182678222656 343.36065673828125 478.8555908203125 258.04864501953125 270.00604248046875 1930.765869140625 1700.6265869140625 1313.0880126953125 947.1788940429688 1971.562744140625 2297.12890625 2383.84375 2147.250244140625 1781.1378173828125 1422.8223876953125 2434.975830078125 2748.92333984375 1352.577392578125 1246.8026123046875 1104.738037109375 1284.2037353515625 1338.2628173828125 1500.7449951171875 646.70849609375 613.7808837890625 592.0037841796875 793.8063354492188 709.550048828125 755.412109375 0.7949822545051575 0.8025909662246704 0.6746666431427002 0.4959021508693695 0.8050190806388855 0.822335422039032
4.0 188.8616485595703 25.183725357055664 30.962717056274414 39.49333572387695 89.60519409179688 130.93658447265625 229.03074645996094 82.86125183105469 90.2395248413086 107.19977569580078 205.14947509765625 249.27101135253906 1437.798583984375 1089.3017578125 946.9906005859375 926.4366455078125 1037.4224853515625 1251.65966796875 1719.66796875 1410.8206787109375 1103.4449462890625 1065.23046875 1329.209228515625 1586.4549560546875 1059.3997802734375 821.5257568359375 609.1922607421875 682.6824951171875 1049.134033203125 1259.420654296875 564.2875366210938 426.6001281738281 310.8726501464844 367.5828857421875 603.5864868164062 770.1826782226562 0.7713059782981873 0.8944849967956543 0.8538134694099426 0.8210672736167908 0.7398062348365784 0.7322279214859009
